"Date","remark","value"
1990-03-01,NA,0.0455
1990-03-02,NA,0.0455
1990-03-03,NA,0.0455
1990-03-04,NA,0.0455
1990-03-05,NA,0.0455
1990-03-06,NA,0.0455
1990-03-07,NA,0.0455
1990-03-08,NA,0.502
1990-03-09,NA,1.85
1990-03-10,NA,1.06
1990-03-11,NA,0.731
1990-03-12,NA,0.583
1990-03-13,NA,0.516
1990-03-14,NA,1.18
1990-03-15,NA,0.516
1990-03-16,NA,0.349
1990-03-17,NA,0.269
1990-03-18,NA,0.245
1990-03-19,NA,0.227
1990-03-20,NA,0.212
1990-03-21,NA,0.197
1990-03-22,NA,0.183
1990-03-23,NA,0.17
1990-03-24,NA,0.158
1990-03-25,NA,0.147
1990-03-26,NA,0.137
1990-03-27,NA,0.127
1990-03-28,NA,0.118
1990-03-29,NA,0.11
1990-03-30,NA,0.102
1990-03-31,NA,0.0952
1990-04-01,NA,0.0886
1990-04-02,NA,0.0824
1990-04-03,NA,0.0766
1990-04-04,NA,0.0712
1990-04-05,NA,0.0662
1990-04-06,NA,0.0616
1990-04-07,NA,0.0573
1990-04-08,NA,0.0533
1990-04-09,NA,0.0502
1990-04-10,NA,0.0498
1990-04-11,NA,0.0497
1990-04-12,NA,0.0495
1990-04-13,NA,0.0494
1990-04-14,NA,0.0492
1990-04-15,NA,0.049
1990-04-16,NA,0.0489
1990-04-17,NA,0.0487
1990-04-18,NA,0.0486
1990-04-19,NA,0.0484
1990-04-20,NA,0.0483
1990-04-21,NA,0.0481
1990-04-22,NA,0.048
1990-04-23,NA,0.0478
1990-04-24,NA,0.0477
1990-04-25,NA,0.0475
1990-04-26,NA,0.0474
1990-04-27,NA,0.0472
1990-04-28,NA,0.0471
1990-04-29,NA,0.0469
1990-04-30,NA,0.0468
1990-05-01,NA,0.0466
1990-05-02,NA,0.0465
1990-05-03,NA,0.0463
1990-05-04,NA,0.0462
1990-05-05,NA,0.0461
1990-05-06,NA,0.0459
1990-05-07,NA,0.0458
1990-05-08,NA,0.0456
1990-05-09,NA,0.108
1990-05-10,NA,0.288
1990-05-11,NA,0.201
1990-05-12,NA,0.141
1990-05-13,NA,0.102
1990-05-14,NA,0.0742
1990-05-15,NA,0.0538
1990-05-16,NA,0.182
1990-05-17,NA,0.0517
1990-05-18,NA,0.0663
