"sample_dt","sample_tm","startDateTime","remark_cd","00061","00665","00666","00671","70507","80154"
1976-02-10,"13:30",1976-02-10 19:30:00,NA,8.5,NA,NA,NA,NA,38
1976-02-12,"17:00",1976-02-12 23:00:00,NA,44,NA,NA,NA,NA,101
1976-02-17,"12:30",1976-02-17 18:30:00,NA,20,NA,NA,NA,NA,19
1976-02-25,"22:00",1976-02-26 04:00:00,NA,23,NA,NA,NA,NA,22
1976-02-27,"10:00",1976-02-27 16:00:00,NA,29,NA,NA,NA,NA,23
1976-02-28,"12:15",1976-02-28 18:15:00,NA,46,NA,NA,NA,NA,188
1976-02-28,"22:30",1976-02-29 04:30:00,NA,32,NA,NA,NA,NA,130
1976-03-04,"15:40",1976-03-04 21:40:00,NA,23,NA,NA,NA,NA,12
1976-03-05,"00:10",1976-03-05 06:10:00,NA,202,NA,NA,NA,NA,140
1976-03-05,"11:00",1976-03-05 17:00:00,NA,148,NA,NA,NA,NA,75
1976-03-11,"14:55",1976-03-11 20:55:00,NA,211,NA,NA,NA,NA,125
1976-03-12,"09:20",1976-03-12 15:20:00,NA,340,NA,NA,NA,NA,745
1976-03-12,"12:50",1976-03-12 18:50:00,NA,410,NA,NA,NA,NA,555
1976-03-12,"21:20",1976-03-13 03:20:00,NA,544,NA,NA,NA,NA,337
1976-03-13,"09:10",1976-03-13 15:10:00,NA,512,NA,NA,NA,NA,49
1976-03-13,"16:00",1976-03-13 22:00:00,NA,392,NA,NA,NA,NA,273
1976-03-14,"15:30",1976-03-14 21:30:00,NA,320,NA,NA,NA,NA,405
1976-03-15,"08:35",1976-03-15 14:35:00,NA,186,NA,NA,NA,NA,49
1976-03-26,"12:50",1976-03-26 18:50:00,NA,28,NA,NA,NA,NA,46
1976-04-15,"20:40",1976-04-16 02:40:00,NA,120,NA,NA,NA,NA,2110
1976-04-20,"22:36",1976-04-21 04:36:00,NA,85,NA,NA,NA,NA,1450
1976-04-20,"22:40",1976-04-21 04:40:00,NA,89,NA,NA,NA,NA,1410
1976-04-20,"23:45",1976-04-21 05:45:00,NA,96,NA,NA,NA,NA,1060
1976-04-21,"07:45",1976-04-21 13:45:00,NA,81,NA,NA,NA,NA,783
1976-04-21,"21:00",1976-04-22 03:00:00,NA,214,NA,NA,NA,NA,1300
1976-04-22,"01:30",1976-04-22 07:30:00,NA,168,NA,NA,NA,NA,953
1976-04-22,"07:20",1976-04-22 13:20:00,NA,110,NA,NA,NA,NA,540
1976-04-22,"15:10",1976-04-22 21:10:00,NA,66,NA,NA,NA,NA,307
1976-04-24,"19:30",1976-04-25 01:30:00,NA,132,NA,NA,NA,NA,1030
1976-05-13,"12:45",1976-05-13 17:45:00,NA,16,NA,NA,NA,NA,49
1976-06-11,"14:25",1976-06-11 19:25:00,NA,13,NA,NA,NA,NA,14
1976-07-08,"14:35",1976-07-08 19:35:00,NA,11,NA,NA,NA,NA,42
1976-07-28,"09:45",1976-07-28 14:45:00,NA,11,NA,NA,NA,NA,62
1976-07-28,"09:47",1976-07-28 14:47:00,NA,NA,0.38,NA,NA,NA,NA
1976-07-28,"09:48",1976-07-28 14:48:00,NA,NA,0.07,NA,NA,NA,NA
1976-08-02,"14:45",1976-08-02 19:45:00,NA,9.5,NA,NA,NA,NA,14
1976-08-25,"19:05",1976-08-26 00:05:00,NA,46,NA,NA,NA,NA,1070
1976-08-26,"09:30",1976-08-26 14:30:00,NA,36,NA,NA,NA,NA,182
1976-09-29,"11:45",1976-09-29 16:45:00,NA,9,NA,NA,NA,NA,30
1976-10-05,"11:30",1976-10-05 16:30:00,NA,10,NA,NA,NA,NA,29
1976-10-05,"13:40",1976-10-05 18:40:00,NA,12,NA,NA,NA,NA,21
1976-10-14,"11:25",1976-10-14 16:25:00,NA,8.4,NA,NA,NA,NA,NA
1976-11-05,"12:20",1976-11-05 18:20:00,NA,9.3,NA,NA,NA,NA,17
1976-11-11,"11:25",1976-11-11 17:25:00,NA,10,NA,NA,NA,NA,NA
1976-12-02,"13:25",1976-12-02 19:25:00,NA,10,NA,NA,NA,NA,2
1977-01-06,"13:15",1977-01-06 19:15:00,NA,8.4,NA,NA,NA,NA,66
1977-02-07,"14:05",1977-02-07 20:05:00,NA,7.6,NA,NA,NA,NA,12
1977-02-23,"08:05",1977-02-23 14:05:00,NA,8,NA,NA,NA,NA,31
1977-02-23,"09:50",1977-02-23 15:50:00,NA,24,NA,NA,NA,NA,47
1977-02-23,"13:40",1977-02-23 19:40:00,NA,94,NA,NA,NA,NA,185
1977-02-23,"17:07",1977-02-23 23:07:00,NA,169,NA,NA,NA,NA,344
1977-02-23,"17:30",1977-02-23 23:30:00,NA,174,NA,NA,NA,NA,373
