Yahara at Windsor,,,,,,,
Computing daily flow weighted concentrations,,,,,,,
Date,DMQ (cfs-days),TP Load (pounds),TP Conc (mg/L),Sed Load (tons),Sed Conc (mg/L),Ortho Load (pounds),Ortho Conc (mg/L)
10/1/1996,17,7.4,0.081,0.59,12.9,2.82,0.031
10/2/1996,17,7.17,0.078,0.54,11.8,2.80,0.031
10/3/1996,16,7.05,0.082,0.53,12.3,2.39,0.028
10/4/1996,17,7.43,0.081,0.56,12.2,2.78,0.030
10/5/1996,17,7.46,0.081,0.56,12.2,2.77,0.030
10/6/1996,17,7.45,0.081,0.56,12.2,2.76,0.030
10/7/1996,19,8.06,0.079,0.61,11.9,3.58,0.035
10/8/1996,18,7.74,0.08,0.58,11.9,3.14,0.032
10/9/1996,18,7.6,0.078,0.57,11.7,3.13,0.032
10/10/1996,18,7.63,0.079,0.58,11.9,3.12,0.032
10/11/1996,17,7.56,0.082,0.57,12.4,2.70,0.029
10/12/1996,18,7.73,0.08,0.58,11.9,3.09,0.032
10/13/1996,18,7.83,0.081,0.59,12.2,3.08,0.032
10/14/1996,18,7.78,0.08,0.59,12.2,3.07,0.032
10/15/1996,18,7.7,0.079,0.58,11.9,3.05,0.031
10/16/1996,18,7.75,0.08,0.58,11.9,3.04,0.031
10/17/1996,19,8.22,0.08,0.62,12.1,3.44,0.034
10/18/1996,19,8.07,0.079,0.61,11.9,3.43,0.033
10/19/1996,18,7.9,0.081,0.59,12.2,3.00,0.031
10/20/1996,18,7.9,0.081,0.59,12.2,2.99,0.031
10/21/1996,19,8.38,0.082,0.63,12.3,3.39,0.033
10/22/1996,20,8.5,0.079,0.64,11.9,3.80,0.035
10/23/1996,25,16.31,0.121,1.51,22.4,6.09,0.045
10/24/1996,22,11.75,0.099,1.05,17.7,4.66,0.039
10/25/1996,21,10.92,0.096,0.96,17,4.21,0.037
10/26/1996,20,10.44,0.097,0.91,16.9,3.76,0.035
10/27/1996,20,10.09,0.094,0.86,15.9,3.75,0.035
10/28/1996,20,9.89,0.092,0.84,15.6,3.74,0.035
10/29/1996,33,37.54,0.211,6.78,76.2,11.49,0.065
10/30/1996,42,74.15,0.327,8.54,75.4,18.65,0.082
10/31/1996,26,31.78,0.227,1.48,21.1,6.64,0.047
11/1/1996,23,11.64,0.094,1.26,20.3,5.06,0.041
11/2/1996,22,9.11,0.077,1.18,19.9,4.59,0.039
11/3/1996,21,8.36,0.074,1.13,20,4.13,0.036
11/4/1996,21,7.96,0.07,1.12,19.8,4.13,0.036
11/5/1996,21,7.61,0.067,1.11,19.6,4.12,0.036
11/6/1996,22,7.64,0.064,1.16,19.6,4.56,0.038
11/7/1996,22,7.22,0.061,1.14,19.2,4.55,0.038
11/8/1996,21,6.65,0.059,1.09,19.2,4.09,0.036
11/9/1996,21,6.27,0.055,1.07,18.9,4.09,0.036
11/10/1996,20,5.8,0.054,1.03,19.1,3.64,0.034
11/11/1996,20,5.42,0.05,1,18.5,3.63,0.034
11/12/1996,19,5.07,0.049,0.97,18.9,3.20,0.031
11/13/1996,19,4.79,0.047,0.96,18.7,3.19,0.031
11/14/1996,19,4.5,0.044,0.94,18.3,3.18,0.031
11/15/1996,18,4.24,0.044,0.92,19,2.76,0.028
11/16/1996,18,4.08,0.042,0.92,19,2.75,0.028
11/17/1996,20,4.16,0.039,0.97,18,3.59,0.033
11/18/1996,19,3.9,0.038,0.95,18.5,3.16,0.031
11/19/1996,19,3.64,0.036,0.92,18,3.16,0.031
11/20/1996,19,3.43,0.033,0.9,17.6,3.16,0.031
11/21/1996,18,3.25,0.033,0.89,18.3,2.74,0.028
11/22/1996,18,3.11,0.032,0.88,18.1,2.73,0.028
11/23/1996,19,3.01,0.029,0.89,17.4,3.15,0.031
11/24/1996,18,2.84,0.029,0.87,17.9,2.73,0.028
11/25/1996,18,2.66,0.027,0.85,17.5,2.72,0.028
11/26/1996,17,2.41,0.026,0.8,17.4,2.31,0.025
11/27/1996,16,2.17,0.025,0.75,17.4,1.91,0.022
11/28/1996,16,2.07,0.024,0.75,17.4,1.90,0.022
11/29/1996,17,2.11,0.023,0.79,17.2,2.30,0.025
11/30/1996,19,2.3,0.022,0.89,17.4,3.14,0.031
12/1/1996,19,2.16,0.021,0.88,17.2,3.14,0.031
12/2/1996,18,1.95,0.02,0.82,16.9,2.70,0.028
12/3/1996,17,1.86,0.02,0.79,17.2,2.28,0.025
12/4/1996,17,1.83,0.02,0.77,16.8,2.27,0.025
12/5/1996,17,1.84,0.02,0.78,17,2.27,0.025
12/6/1996,17,1.85,0.02,0.78,17,2.26,0.025
12/7/1996,17,1.82,0.02,0.77,16.8,2.26,0.025
12/8/1996,16,1.78,0.021,0.75,17.4,1.84,0.021
12/9/1996,16,1.74,0.02,0.74,17.1,1.84,0.021
12/10/1996,16,1.75,0.02,0.74,17.1,1.85,0.021
12/11/1996,16,1.76,0.02,0.74,17.1,1.85,0.021
12/12/1996,16,1.77,0.021,0.75,17.4,1.85,0.021
12/13/1996,17,1.79,0.02,0.76,16.6,2.28,0.025
12/14/1996,17,1.83,0.02,0.77,16.8,2.28,0.025
12/15/1996,23,2.45,0.02,1.04,16.8,5.21,0.042
12/16/1996,20,2.18,0.02,0.93,17.2,3.70,0.034
12/17/1996,18,1.98,0.02,0.84,17.3,2.76,0.028
12/18/1996,17,1.88,0.021,0.8,17.4,2.31,0.025
12/19/1996,16,1.73,0.02,0.73,16.9,1.87,0.022
12/20/1996,16,1.73,0.02,0.73,16.9,1.88,0.022
12/21/1996,15,1.62,0.02,0.69,17.1,1.51,0.019
12/22/1996,15,1.62,0.02,0.69,17.1,1.51,0.019
12/23/1996,15,1.62,0.02,0.69,17.1,1.51,0.019
12/24/1996,14,1.51,0.02,0.64,17,1.29,0.017
12/25/1996,14,1.51,0.02,0.64,17,1.29,0.017
12/26/1996,15,1.62,0.02,0.69,17.1,1.52,0.019
12/27/1996,15,1.62,0.02,0.69,17.1,1.52,0.019
12/28/1996,15,1.62,0.02,0.69,17.1,1.52,0.019
12/29/1996,16,1.77,0.021,0.75,17.4,1.90,0.022
12/30/1996,16,1.71,0.02,0.73,16.9,1.91,0.022
12/31/1996,16,1.71,0.02,0.73,16.9,1.91,0.022
1/1/1997,16,1.71,0.02,0.73,16.9,1.91,0.022
1/2/1997,16,1.75,0.02,0.74,17.1,1.92,0.022
1/3/1997,17,1.81,0.02,0.77,16.8,2.40,0.026
1/4/1997,104,878.19,1.565,100.63,358.8,152.97,0.273
1/5/1997,115,973.19,1.569,52.84,170.4,180.43,0.291
1/6/1997,46,152.92,0.616,10.32,83.2,30.67,0.124
1/7/1997,28,53.07,0.351,5.02,66.5,9.59,0.064
1/8/1997,19,20.93,0.204,2.25,43.9,3.44,0.034
1/9/1997,18,13.77,0.142,1.62,33.4,2.92,0.030
1/10/1997,18,12.25,0.126,1.47,30.3,2.93,0.030
1/11/1997,17,10.28,0.112,1.26,27.5,2.43,0.026
1/12/1997,17,9.14,0.1,1.15,25.1,2.43,0.026
1/13/1997,17,8.13,0.089,1.04,22.7,2.43,0.027
1/14/1997,17,7.23,0.079,0.95,20.7,2.44,0.027
1/15/1997,17,6.48,0.071,0.86,18.8,2.44,0.027
1/16/1997,16,5.73,0.066,0.78,18.1,1.95,0.023
1/17/1997,16,5.43,0.063,0.75,17.4,1.96,0.023
1/18/1997,16,5.15,0.06,0.73,16.9,1.96,0.023
1/19/1997,17,5.19,0.057,0.75,16.4,2.45,0.027
1/20/1997,17,4.92,0.054,0.72,15.7,2.46,0.027
1/21/1997,18,5.41,0.056,0.79,16.3,2.97,0.031
1/22/1997,120,885,1.367,68,210.1,187.87,0.290
1/23/1997,60,437,1.35,12,74.2,53.15,0.164
1/24/1997,35,84.8,0.449,2.6,27.5,16.76,0.089
1/25/1997,25,38.61,0.286,1.72,25.5,7.05,0.052
1/26/1997,20,22.34,0.207,1.39,25.8,4.04,0.037
1/27/1997,17,16.56,0.181,1.19,26,2.45,0.027
1/28/1997,17,14.92,0.163,1.19,26,2.44,0.027
1/29/1997,16,12.65,0.147,1.13,26.2,1.95,0.023
1/30/1997,16,11.46,0.133,1.14,26.4,1.95,0.023
1/31/1997,17,11.79,0.129,1.2,26.2,2.42,0.026
2/1/1997,17,11.63,0.127,1.18,25.7,2.42,0.026
2/2/1997,18,12.14,0.125,1.23,25.3,2.90,0.030
2/3/1997,20,13.3,0.123,1.35,25,3.93,0.036
2/4/1997,18,11.8,0.122,1.19,24.5,2.89,0.030
2/5/1997,17,10.99,0.12,1.11,24.2,2.39,0.026
2/6/1997,16,10.2,0.118,1.03,23.9,1.92,0.022
2/7/1997,15,9.43,0.117,0.95,23.5,1.54,0.019
2/8/1997,15,9.3,0.115,0.94,23.2,1.54,0.019
2/9/1997,15,9.17,0.113,0.92,22.7,1.54,0.019
2/10/1997,15,9.05,0.112,0.91,22.5,1.54,0.019
2/11/1997,14,8.33,0.11,0.84,22.2,1.33,0.018
2/12/1997,13,7.62,0.109,0.77,22,1.13,0.016
2/13/1997,14,8.1,0.107,0.81,21.5,1.32,0.018
2/14/1997,14,7.99,0.106,0.8,21.2,1.32,0.018
2/15/1997,14,7.87,0.104,0.79,20.9,1.32,0.018
2/16/1997,13,7.21,0.103,0.72,20.5,1.13,0.016
2/17/1997,14,7.66,0.101,0.77,20.4,1.32,0.018
2/18/1997,170,1443.65,1.574,208.1,453.9,269.10,0.293
2/19/1997,288,2639.11,1.699,146.36,188.4,531.98,0.342
2/20/1997,166,1242.42,1.388,53.73,120,254.86,0.285
2/21/1997,325,3234.91,1.845,327.49,373.6,612.74,0.350
2/22/1997,223,2090.49,1.738,114.83,190.9,374.22,0.311
2/23/1997,90,740.38,1.525,40.69,167.6,92.30,0.190
2/24/1997,44,212.82,0.897,14.67,123.6,22.91,0.097
2/25/1997,35,112.69,0.597,8.01,84.9,14.05,0.074
2/26/1997,26,58.12,0.414,4.25,60.6,6.85,0.049
2/27/1997,27,52.59,0.361,3.37,46.3,7.54,0.052
2/28/1997,24,42.09,0.325,2.29,35.4,5.59,0.043
3/1/1997,173,1549.99,1.661,191.01,409.4,247.83,0.266
3/2/1997,231,2105.65,1.69,126.72,203.4,364.56,0.293
3/3/1997,126,850.28,1.251,54.91,161.6,149.03,0.219
3/4/1997,69,338.54,0.91,13.11,70.4,51.52,0.138
3/5/1997,37,83.93,0.421,3.42,34.3,14.90,0.075
3/6/1997,27,46.32,0.318,2.03,27.9,7.25,0.050
3/7/1997,24,34.55,0.267,1.58,24.4,5.40,0.042
3/8/1997,24,29.18,0.225,1.4,21.6,5.38,0.042
3/9/1997,143,1252.33,1.624,161.07,417.6,169.87,0.220
3/10/1997,144,925.22,1.191,73.4,189,169.73,0.219
3/11/1997,86,318.65,0.687,27.48,118.5,71.81,0.155
3/12/1997,43,91.61,0.395,5.63,48.5,19.11,0.082
3/13/1997,30,39.71,0.245,2.15,26.6,8.95,0.055
3/14/1997,27,25.92,0.178,1.3,17.9,6.92,0.048
3/15/1997,25,22.54,0.167,1.13,16.8,5.67,0.042
3/16/1997,25,21.36,0.158,1.07,15.9,5.64,0.042
3/17/1997,31,46.95,0.281,5.36,64.1,9.36,0.056
3/18/1997,33,44.32,0.249,4.37,49.1,10.64,0.060
3/19/1997,30,29.1,0.18,2.21,27.3,8.58,0.053
3/20/1997,38,42.63,0.208,5.1,49.8,13.93,0.068
3/21/1997,37,37.61,0.188,2.36,23.7,13.11,0.066
3/22/1997,33,29.06,0.163,1.42,16,10.31,0.058
3/23/1997,27,21.23,0.146,1.1,15.1,6.55,0.045
3/24/1997,25,17.09,0.127,1,14.8,5.41,0.040
3/25/1997,32,24.32,0.141,2.44,28.3,9.44,0.055
3/26/1997,33,22.06,0.124,2.33,26.2,9.98,0.056
3/27/1997,32,18.93,0.11,1.7,19.7,9.29,0.054
3/28/1997,35,21.58,0.114,2.34,24.8,11.06,0.059
3/29/1997,37,21.11,0.106,3.22,32.3,12.22,0.061
3/30/1997,30,14.61,0.09,2.24,27.7,7.92,0.049
3/31/1997,28,12.23,0.081,1.92,25.4,6.76,0.045
4/1/1997,26,10.64,0.076,1.74,24.8,5.67,0.040
4/2/1997,25,9.68,0.072,1.66,24.6,5.15,0.038
4/3/1997,24,9.1,0.07,1.64,25.3,4.72,0.036
4/4/1997,24,8.54,0.066,1.62,25,4.71,0.036
4/5/1997,25,8.55,0.063,1.7,25.2,5.08,0.038
4/6/1997,26,8.5,0.061,1.77,25.2,5.53,0.039
4/7/1997,23,7.12,0.057,1.55,25,4.27,0.034
4/8/1997,22,6.42,0.054,1.47,24.8,3.88,0.033
4/9/1997,21,5.98,0.053,1.44,25.4,3.50,0.031
4/10/1997,21,5.65,0.05,1.42,25.1,3.49,0.031
4/11/1997,21,5.41,0.048,1.43,25.2,3.48,0.031
4/12/1997,22,5.41,0.046,1.5,25.3,3.82,0.032
4/13/1997,23,5.34,0.043,1.55,25,4.17,0.034
4/14/1997,26,5.63,0.04,1.72,24.5,5.33,0.038
4/15/1997,25,5.39,0.04,1.69,25.1,4.87,0.036
4/16/1997,24,5.09,0.039,1.51,23.3,4.48,0.035
4/17/1997,23,4.76,0.038,1.33,21.4,4.11,0.033
4/18/1997,22,4.63,0.039,1.22,20.6,3.74,0.032
4/19/1997,23,4.98,0.04,1.23,19.8,4.07,0.033
4/20/1997,23,4.95,0.04,1.15,18.5,4.06,0.033
4/21/1997,24,5.07,0.039,1.11,17.1,4.39,0.034
4/22/1997,22,4.71,0.04,0.97,16.3,3.69,0.031
4/23/1997,21,4.5,0.04,0.88,15.5,3.35,0.030
4/24/1997,21,4.55,0.04,0.83,14.7,3.34,0.029
4/25/1997,21,4.46,0.039,0.77,13.6,3.34,0.029
4/26/1997,20,4.32,0.04,0.7,13,3.03,0.028
4/27/1997,20,4.31,0.04,0.66,12.2,3.03,0.028
4/28/1997,20,4.3,0.04,0.62,11.5,3.03,0.028
4/29/1997,20,4.27,0.04,0.58,10.8,3.04,0.028
4/30/1997,21,7.08,0.063,0.95,16.8,3.35,0.030
5/1/1997,41,42.69,0.193,6.75,61,12.03,0.054
5/2/1997,30,15.95,0.099,1.26,15.6,6.77,0.042
5/3/1997,31,15.58,0.093,1.14,13.6,7.21,0.043
5/4/1997,27,13.75,0.094,0.92,12.6,5.48,0.038
5/5/1997,24,11.98,0.093,0.79,12.2,4.34,0.034
5/6/1997,22,10.93,0.092,0.71,12,3.69,0.031
5/7/1997,21,10.88,0.096,0.73,12.9,3.38,0.030
5/8/1997,26,13.09,0.093,1.55,22.1,5.07,0.036
5/9/1997,22,11.19,0.094,1.17,19.7,3.70,0.031
5/10/1997,20,10.31,0.096,1.06,19.7,3.08,0.029
5/11/1997,20,10.5,0.097,1.06,19.7,3.09,0.029
5/12/1997,20,10.41,0.096,1.03,19.1,3.09,0.029
