"waterYear","month","month_sum","days_1inch","cumulative_month_sum"
1940,"Jan",0.91,0,0.91
1940,"Feb",0.76,0,0.76
1940,"Mar",1.07,0,1.07
1940,"Apr",2.4,0,2.4
1940,"May",2.7,0,2.7
1940,"Jun",5.04,1,5.04
1940,"Jul",2.88,1,2.88
1940,"Aug",6.76,2,6.76
1940,"Sep",0.81,0,0.81
1940,"Oct",1.67,0,1.67
1940,"Nov",0.24,0,0.24
1940,"Dec",0.29,0,0.29
1941,"Jan",2.72,1,3.63
1941,"Feb",0.78,0,1.54
1941,"Mar",1.82,0,2.89
1941,"Apr",1.93,0,4.33
1941,"May",3.03,1,5.73
1941,"Jun",3.42,1,8.46
1941,"Jul",2.93,1,5.81
1941,"Aug",1.29,0,8.05
1941,"Sep",9.87,4,10.68
1941,"Oct",2.39,0,4.06
1941,"Nov",2.49,0,2.73
1941,"Dec",1.21,0,1.5
1942,"Jan",1.16,0,4.79
1942,"Feb",0.5,0,2.04
1942,"Mar",1.46,0,4.35
1942,"Apr",0.81,0,5.14
1942,"May",4.49,1,10.22
1942,"Jun",4.26,1,12.72
1942,"Jul",3.58,1,9.39
1942,"Aug",4.14,2,12.19
1942,"Sep",3.43,0,14.11
1942,"Oct",2.86,1,6.92
1942,"Nov",0.93,0,3.66
1942,"Dec",1.29,0,2.79
1943,"Jan",2.15,0,6.94
1943,"Feb",0.76,0,2.8
1943,"Mar",2.48,1,6.83
1943,"Apr",0.99,0,6.13
1943,"May",2.88,0,13.1
1943,"Jun",2.33,0,15.05
1943,"Jul",1.54,0,10.93
1943,"Aug",2.31,0,14.5
1943,"Sep",0.37,0,14.48
1943,"Oct",2.44,1,9.36
1943,"Nov",3.27,1,6.93
1943,"Dec",2.55,1,5.34
1944,"Jan",1.4,0,8.34
1944,"Feb",1.69,0,4.49
1944,"Mar",2.46,0,9.29
1944,"Apr",3.74,1,9.87
1944,"May",2.33,1,15.43
1944,"Jun",3.42,0,18.47
1944,"Jul",2.77,0,13.7
1944,"Aug",1.54,0,16.04
1944,"Sep",3.05,0,17.53
1944,"Oct",0.83,0,10.19
1944,"Nov",3.15,2,10.08
1944,"Dec",0.99,0,6.33
1945,"Jan",0.31,0,8.65
1945,"Feb",1.4,0,5.89
1945,"Mar",1.4,0,10.69
1945,"Apr",2.89,0,12.76
1945,"May",5.27,1,20.7
1945,"Jun",2.81,0,21.28
1945,"Jul",2.65,0,16.35
1945,"Aug",4.07,0,20.11
1945,"Sep",6.27,3,23.8
1945,"Oct",0.29,0,10.48
1945,"Nov",1.54,0,11.62
1945,"Dec",1.14,0,7.47
1946,"Jan",1.97,0,10.62
1946,"Feb",0.88,0,6.77
1946,"Mar",2.88,0,13.57
1946,"Apr",0.94,0,13.7
1946,"May",2.14,0,22.84
1946,"Jun",2.81,0,24.09
1946,"Jul",0.95,0,17.3
1946,"Aug",1.63,0,21.74
1946,"Sep",1.28,0,25.08
1946,"Oct",0.78,0,11.26
1946,"Nov",2.34,0,13.96
1946,"Dec",1.47,0,8.94
1947,"Jan",2.26,0,12.88
1947,"Feb",0.29,0,7.06
1947,"Mar",1.73,0,15.3
1947,"Apr",3.68,1,17.38
1947,"May",4.35,0,27.19
1947,"Jun",3.98,1,28.07
1947,"Jul",2.17,0,19.47
1947,"Aug",1.58,1,23.32
1947,"Sep",6.03,3,31.11
1947,"Oct",1.79,0,13.05
1947,"Nov",2.08,0,16.04
1947,"Dec",1.54,0,10.48
1948,"Jan",0.49,0,13.37
1948,"Feb",2.13,1,9.19
1948,"Mar",2.85,0,18.15
1948,"Apr",2.97,0,20.35
1948,"May",2.9,0,30.09
1948,"Jun",2.55,1,30.62
1948,"Jul",2.55,0,22.02
1948,"Aug",0.7,0,24.02
1948,"Sep",1.87,0,32.98
1948,"Oct",1.85,0,14.9
1948,"Nov",2.82,0,18.86
1948,"Dec",1.72,0,12.2
1949,"Jan",1.97,0,15.34
1949,"Feb",1.26,0,10.45
1949,"Mar",2.35,0,20.5
1949,"Apr",1.1,0,21.45
1949,"May",2.22,0,32.31
1949,"Jun",6.43,2,37.05
1949,"Jul",5.76,2,27.78
1949,"Aug",2.2,0,26.22
1949,"Sep",1.12,0,34.1
1949,"Oct",1.29,0,16.19
1949,"Nov",3.56,0,22.42
1949,"Dec",1.75,0,13.95
1950,"Jan",2.43,1,17.77
1950,"Feb",1.65,1,12.1
1950,"Mar",2.34,0,22.84
1950,"Apr",2.67,0,24.12
1950,"May",3.43,1,35.74
1950,"Jun",6.24,2,43.29
1950,"Jul",10.93,3,38.71
