"waterYear","yearly_precip","yearly_1inch","yearly_2inch","yearly_3inch","cumulative_yearly_precip"
1940,25.53,4,1,1,25.53
1941,33.88,8,1,1,59.41
1942,28.91,6,1,0,88.32
1943,24.07,4,0,0,112.39
1944,27.37,4,0,0,139.76
1945,30.04,4,0,0,169.8
1946,20.07,0,0,0,189.87
1947,31.48,6,1,0,221.35
1948,25.4,2,0,0,246.75
1949,31.01,5,1,0,277.76
1950,39.07,11,3,1,316.83
1951,27.2,3,0,0,344.03
1952,36.03,7,0,0,380.06
1953,29.83,7,2,0,409.89
1954,33.84,9,2,1,443.73
1955,23.82,3,0,0,467.55
1956,31.81,9,0,0,499.36
1957,30.5,8,0,0,529.86
1958,22.45,5,1,0,552.31
1959,35.15,9,2,0,587.46
1960,44.04,11,3,1,631.5
1961,27.37,5,2,0,658.87
1962,27.22,6,1,0,686.09
1963,25.86,3,1,1,711.95
1964,24.51,2,0,0,736.46
1965,33.81,8,1,0,770.27
1966,27.03,5,1,1,797.3
1967,30.3,5,0,0,827.6
1968,34.47,8,1,0,862.07
1969,30.11,3,1,0,892.18
1970,29.87,5,1,0,922.05
1971,24.57,3,0,0,946.62
1972,34.19,7,1,0,980.81
1973,34.96,7,0,0,1015.77
1974,35.05,6,2,0,1050.82
1975,37.58,6,1,1,1088.4
1976,22.83,4,0,0,1111.23
1977,29.37,5,2,0,1140.6
1978,35.7,10,3,1,1176.3
1979,26.69,4,0,0,1202.99
1980,37.6,9,1,0,1240.59
1981,31.04,9,2,0,1271.63
1982,27.4,6,0,0,1299.03
1983,32.92,6,0,0,1331.95
1984,31.67,6,1,0,1363.62
1985,36.96,7,2,0,1400.58
1986,40.38,13,1,0,1440.96
1987,28.42,5,1,0,1469.38
1988,26.4,6,0,0,1495.78
1989,27.01,4,1,0,1522.79
1990,32.3,7,1,0,1555.09
1991,35.53,12,1,0,1590.62
1992,34.77,5,1,0,1625.39
1993,48.81,11,3,1,1674.2
1994,31.85,5,2,0,1706.05
1995,29.85,8,1,0,1735.9
1996,34.5,8,1,1,1770.4
1997,30.33,7,0,0,1800.73
1998,38.23,8,2,0,1838.96
1999,34.42,8,0,0,1873.38
2000,39.22,8,5,1,1912.6
2001,37.18,11,2,1,1949.78
2002,27.75,2,0,0,1977.53
2003,24.43,5,1,0,2001.96
2004,44.3,13,3,1,2046.26
2005,25.76,2,0,0,2072.02
2006,35.37,6,2,0,2107.39
2007,43.51,8,4,3,2150.9
2008,44.48,13,4,1,2195.38
2009,36.98,10,3,1,2232.36
2010,41.3,6,1,1,2273.66
2011,28.49,5,0,0,2302.15
2012,25.23,4,0,0,2327.38
2013,47.73,14,1,1,2375.11
2014,35.36,9,1,0,2410.47
2015,34.44,9,2,0,2444.91
2016,47.51,12,3,0,2492.42
2017,42.17,8,1,0,2534.59
